token,official_count,short_count,pooled_count,official_normalized_rate,short_normalized_rate,log_odds_delta,variance,z_score,direction,short_rank,official_rank
accurate,150,32,182,7.9584758563717946e-05,5.6160548969366179e-05,-0.078141399833235425,0.00768550652578641,-0.89134316612812159,official,3193,2423
accurately,33,0,33,1.7508646884017949e-05,0,-0.33212817389864746,0.04545510655738156,-1.5578096061599955,official,3965,1642
achieve,316,7,323,0.00016765855804089913,1.2285120087048851e-05,-0.29982664300850459,0.004595809422965373,-4.4227176711294049,official,5283,333
achieved,28,2,30,1.4855821598560682e-05,3.5100343105853862e-06,-0.23368658812023924,0.04849194041264674,-1.0612043130292073,official,3337,2271
achievement,191,74,265,0.00010133792590446751,0.00012987126949165928,0.064537608356541654,0.005143396120523472,0.89988679862191623,short,1846,3770
achievements,42,3,45,2.2283732397841024e-05,5.2650514658780786e-06,-0.23368798082080744,0.032328147312487891,-1.2997085259162424,official,3571,2043
achieving,67,8,75,3.5547858825127351e-05,1.4040137242341545e-05,-0.17596842499317411,0.019091007404550081,-1.2735626790520425,official,3547,2069
acid,101,82,183,5.358707076623675e-05,0.00014391140673400082,0.29180106854293975,0.0072952728060045073,3.4163795174292799,short,556,5060
acidification,14,11,25,7.4279107992803412e-06,1.9305188708219622e-05,0.2809835131297671,0.053419364520533606,1.2157141721719413,short,1624,3989
acquire,226,0,226,0.00011990770290266836,0,-0.33215331478490207,0.0066377292860326275,-4.0768883957439259,official,5230,386
acquired,172,20,192,9.1257189819729905e-05,3.5100343105853861e-05,-0.17955807519309097,0.0074647950175628607,-2.0782414285271749,official,4492,1124
acquiring,119,5,124,6.3137241793882905e-05,8.7750857764634652e-06,-0.27223908021906418,0.011867725444677327,-2.4990026895219075,official,4764,852
acquisition,597,157,754,0.00031674733908359744,0.00027553769338095282,-0.033044255524947275,0.0018384485579911146,-0.77067315373051071,official,3086,2530
acquisitions,102,11,113,5.4117635823328202e-05,1.9305188708219622e-05,-0.18934170416371465,0.012716240040428749,-1.6790627347685696,official,4120,1496
acreage,90,12,102,4.775085513823077e-05,2.1060205863512314e-05,-0.16028017130680539,0.013980824276278626,-1.3555433455565111,official,3641,1975
acres,48,0,48,2.5467122740389743e-05,0,-0.33213012771588346,0.031250561106069316,-1.8787948571785984,official,4335,1273
act,43678,116156,159834,0.023174020563640482,0.20385577269017804,0.71331955107055389,9.142673479349627e-06,235.91063670308546,short,1,5615
acting,186,0,186,9.8685100619010256e-05,0,-0.33214810392298943,0.0080650772648489365,-3.6985160817159763,official,5147,469
action,691,118,809,0.00036662045445019401,0.00020709202432453777,-0.12028269252471357,0.0017459765950190958,-2.8786173084951594,official,4926,690
actions,971,15,986,0.00051517867043580088,2.6325257329390394e-05,-0.30950994041045554,0.0015105485115462036,-7.9635601189012748,official,5500,116
active,515,16,531,0.00027324100440209828,2.8080274484683089e-05,-0.28731673530587187,0.0027847377205491258,-5.4446350452870202,official,5383,233
actively,29,2,31,1.5386386655652135e-05,3.5100343105853862e-06,-0.23681661138218857,0.046970258072214423,-1.0926993614999132,official,3370,2242
activities,3099,115,3214,0.0016442211119264128,0.00020182697285865968,-0.2792702873331141,0.00045935559827423419,-13.030174297200363,official,5579,37
activity,368,43,411,0.0001952479410096547,7.5465737677585801e-05,-0.17891995345920009,0.0034869014060457167,-3.0299742849398767,official,4978,638
acts,530,12,542,0.00028119948025847008,2.1060205863512314e-05,-0.29915722616394014,0.0027384511857660924,-5.7167209798783905,official,5404,212
actual,61,2,63,3.2364468482578628e-05,3.5100343105853862e-06,-0.2848780744870556,0.023449692623062658,-1.8603319636854048,official,4326,1288
actuarial,28,2,30,1.4855821598560682e-05,3.5100343105853862e-06,-0.23368658812023924,0.04849194041264674,-1.0612043130292073,official,3338,2272
adams,15,10,25,7.9584758563717939e-06,1.755017155292693e-05,0.22749426707707698,0.053571989673102532,0.98288242290898531,short,1788,3823
adaptation,20,13,33,1.0611301141829059e-05,2.281522301880501e-05,0.21937578393989021,0.040607616066651482,1.0886416318950287,short,1713,3898
add,167,0,167,8.8604364534272648e-05,0,-0.33214562882138132,0.0089825970598645475,-3.5045122469417795,official,5095,521
added,59,1,60,3.1303338368395723e-05,1.7550171552926931e-06,-0.30723357805596407,0.024797365076200777,-1.9510388202846158,official,4398,1217
addiction,50,41,91,2.6528252854572649e-05,7.195570336700041e-05,0.29507648975706502,0.01466851727496116,2.4363602212394007,short,899,4717
adding,79,6,85,4.1914639510224784e-05,1.0530102931756157e-05,-0.22799132129304311,0.017087133079002826,-1.7441495271520902,official,4189,1427
addition,144,47,191,7.6401368221169229e-05,8.2485806298756569e-05,0.019164940630796323,0.0071873164386718185,0.22606019358615426,short,2345,3271
additional,2318,26,2344,0.001229849802337988,4.563044603761002e-05,-0.31582226904759469,0.00063700274565194623,-12.513306932993952,official,5575,41
additions,22,18,40,1.1672431256011964e-05,3.1590308795268477e-05,0.29433682027145203,0.033370972673766278,1.6112397263176164,short,1366,4248
additive,11,24,35,5.8362156280059822e-06,4.2120411727024629e-05,0.6099282600649012,0.038688844081772034,3.1008865621046984,short,650,4965
additives,66,18,84,3.5017293768035899e-05,3.1590308795268477e-05,-0.02464001716590758,0.016471149350135331,-0.19199019667017228,official,2641,2974
address,614,13,627,0.00032576694505415213,2.281522301880501e-05,-0.30125569507989702,0.0023688630043955964,-6.1896386119940843,official,5436,180
addressing,45,1,46,2.3875427569115385e-05,1.7550171552926931e-06,-0.29969403034675857,0.032266167839386288,-1.6684161994814017,official,4103,1512
adequate,635,9,644,0.00033690881125307266,1.5795154397634238e-05,-0.31131221879397053,0.0023138156319922774,-6.4718998984010954,official,5452,164
adequately,35,0,35,1.8569776998200855e-05,0,-0.33212843440627182,0.042857703960410054,-1.6043222548468057,official,4020,1576
adherence,27,0,27,1.432525654146923e-05,0,-0.33212739237824884,0.055556116657098385,-1.4090900724452342,official,3744,1837
adjacent,120,3,123,6.3667806850974351e-05,5.2650514658780786e-06,-0.29577056961221793,0.012052295396361127,-2.6941394668061025,official,4842,774
adjudication,64,34,98,3.3956163653852993e-05,5.9670583279951563e-05,0.15623520531167401,0.013749158200689032,1.3324190948472645,short,1538,4078
adjust,268,1,269,0.0001421914353005094,1.7550171552926931e-06,-0.32658731044229405,0.005566462250393347,-4.3773338652147231,official,5275,341
adjusted,87,1,88,4.6159159966956405e-05,1.7550171552926931e-06,-0.31513720052530658,0.016950801885213123,-2.4204969999079404,official,4729,886
adjusting,31,4,35,1.644751676983504e-05,7.0200686211707723e-06,-0.16507210532958716,0.040793101896032878,-0.81729779120016122,official,3126,2487
adjustment,708,666,1374,0.0003756400604207487,0.0011688414254249335,0.34083898092389209,0.00097106490468803108,10.937677875574632,short,69,5547
adjustments,352,13,365,0.00018675890009619143,2.281522301880501e-05,-0.27919859296109273,0.0040407639601105,-4.3921936961833223,official,5278,338
administer,208,0,208,0.00011035753187502222,0,-0.33215096987662207,0.0072120996020977714,-3.9111517533110303,official,5194,422
administered,495,0,495,0.0002626297032602692,0,-0.33218836211765534,0.0030308642327396824,-6.0339425655824064,official,5426,190
administering,71,0,71,3.7670119053493162e-05,0,-0.33213312361403702,0.021127321674407271,-2.2850197995551476,official,4638,974
administration,3522,784,4306,0.0018686501310760974,0.0013759334497494714,-0.069527084024795016,0.0003247722746749105,-3.8580205966142747,official,5190,426
administration's,42,0,42,2.2283732397841024e-05,0,-0.33212934618620515,0.035714846819061744,-1.7574495006982607,official,4198,1408
administrative,745,294,1039,0.00039527096753313247,0.00051597504365605176,0.069626956716914989,0.0013112869997807268,1.9227753041411666,short,1161,4455
administrator,907,0,907,0.00048122250678194785,0,-0.33224205503312998,0.0016543650399104108,-8.1684364080836396,official,5506,110
administrators,44,1,45,2.3344862512023929e-05,1.7550171552926931e-06,-0.29897696852822975,0.032975646596441276,-1.6464216716277595,official,4076,1540
admission,205,28,233,0.00010876583670374786,4.9140480348195404e-05,-0.1566898370879013,0.0061150837948752632,-2.0037319480302824,official,4438,1178
admissions,31,3,34,1.644751676983504e-05,5.2650514658780786e-06,-0.20244879753446732,0.042412203514862724,-0.98303681644785201,official,3268,2342
admitted,76,0,76,4.0322944338950426e-05,0,-0.33213377490346119,0.019737403217367912,-2.364111931290569,official,4687,925
adolescent,45,42,87,2.3875427569115385e-05,7.3710720522293099e-05,0.338046021443553,0.015328256677091,2.7304199398245816,short,779,4837
adolescents,63,1,64,3.3425598596761534e-05,1.7550171552926931e-06,-0.3087842867066346,0.023259192242221227,-2.0246869231835807,official,4451,1164
adopt,139,8,147,7.3748542935711959e-05,1.4040137242341545e-05,-0.25155804781106816,0.0099486775275885887,-2.5220607229546008,official,4774,842
adopted,77,6,83,4.0853509396041878e-05,1.0530102931756157e-05,-0.22552158497203401,0.017486516170130747,-1.7054400916191952,official,4152,1464
adopting,24,12,36,1.2733561370194872e-05,2.1060205863512314e-05,0.13788179783133714,0.037500561104157414,0.71201321550013008,short,1975,3639
adoption,474,210,684,0.00025148783706134873,0.00036855360261146554,0.1023081689946288,0.0019826873460433822,2.2976464091113287,short,946,4670
adoptive,50,12,62,2.6528252854572649e-05,2.1060205863512314e-05,-0.053411815517454997,0.022442646051846635,-0.35653347345386627,official,2761,2855
adult,223,101,324,0.00011831600773139401,0.00017725673268456199,0.1086781429775403,0.0041816559126168851,1.6806143282270412,short,1315,4300
adulterated,41,0,41,2.1753167340749571e-05,0,-0.33212921593162115,0.036585926958219016,-1.7364010857917151,official,4174,1432
adults,136,19,155,7.2156847764437608e-05,3.3345325950561165e-05,-0.15325419155181663,0.009184113683822397,-1.5991666935471123,official,4015,1601
advance,315,46,361,0.00016712799298380769,8.0730789143463881e-05,-0.1463777986599748,0.0039368535739619506,-2.3329239442934449,official,4665,951
advanced,320,124,444,0.00016978081826926495,0.00021762212725629393,0.064588681402810266,0.0030700251022553202,1.1656963996499961,short,1650,3966
advancement,63,127,190,3.3425598596761534e-05,0.000222887178722172,0.58658210551964096,0.0071077044462729512,6.9576748598307576,short,147,5469
advances,41,2,43,2.1753167340749571e-05,3.5100343105853862e-06,-0.26313548274384679,0.034127545232088149,-1.4243833531306862,official,3786,1828
advancing,23,57,80,1.2202996313103419e-05,0.0001000359778516835,0.64629680575203174,0.017008569053242193,4.9556214113974226,short,280,5336
advantage,77,18,95,4.0853509396041878e-05,3.1590308795268477e-05,-0.059085627267236873,0.01466407212770832,-0.48792666907366977,official,2868,2748
adverse,215,0,215,0.00011407148727466239,0,-0.33215188178142618,0.0069773053281148587,-3.9764255272148583,official,5205,411
adversely,135,1,136,7.1626282707346148e-05,1.7550171552926931e-06,-0.32113174394418564,0.010989868098456203,-3.0632821326605879,official,4988,628
advertisements,79,2,81,4.1914639510224784e-05,3.5100343105853862e-06,-0.29531933084626871,0.018298753884379307,-2.1831376411358243,official,4574,1041
advertising,294,134,428,0.00015598612678488716,0.00023517229880922085,0.11051945909802541,0.0031649621773774889,1.9645111068362175,short,1135,4481
advice,84,13,97,4.4567464795682047e-05,2.281522301880501e-05,-0.13699870073969755,0.014616332086724455,-1.133175686178777,official,3406,2208
advise,37,2,39,1.963090711238376e-05,3.5100343105853862e-06,-0.25614192623646481,0.037548699743522956,-1.3218531791136914,official,3599,2014
advisers,71,14,85,3.7670119053493162e-05,2.4570240174097702e-05,-0.093716068183786305,0.016511827626098385,-0.7293172514277585,official,3066,2549
advising,26,0,26,1.3794691484377777e-05,0,-0.33212726212521027,0.057692868793634985,-1.3827493339984507,official,3693,1907
advisory,554,203,757,0.00029393304162866494,0.00035626848252441666,0.049426413367152477,0.0018050044435049181,1.1633756224682148,short,1652,3964
advocacy,76,53,129,4.0322944338950426e-05,9.3015909230512728e-05,0.24203294939451325,0.010373115401502635,2.3764018859981841,short,922,4694
advocate,34,14,48,1.8039211941109402e-05,2.4570240174097702e-05,0.081440046115378806,0.028324715316140465,0.48389956769489562,short,2172,3442
aerial,20,10,30,1.0611301141829059e-05,1.755017155292693e-05,0.13788145713245648,0.045000561102751691,0.64997537001237282,short,2017,3596
aeronautics,282,114,396,0.00014961934609978973,0.00020007195570336699,0.076299130558721728,0.0034362717549142876,1.3015948990843906,short,1558,4058
afdc,79,8,87,4.1914639510224784e-05,1.4040137242341545e-05,-0.19709443502771862,0.016550973289941491,-1.5320135032845541,official,3942,1673
affairs,2008,271,2279,0.0010653746346396375,0.00047560964908431981,-0.1586154396532482,0.00062598181970871351,-6.3396400333618566,official,5443,173
affect,108,0,108,5.7301026165876919e-05,0,-0.33213794321681966,0.013889450007891444,-2.8182269748450395,official,4896,718
affected,519,9,528,0.00027536326463046407,1.5795154397634238e-05,-0.30672654703204927,0.0028178684406134475,-5.7781792324908547,official,5408,208
affecting,212,5,217,0.00011247979210338803,8.7750857764634652e-06,-0.29778169310917768,0.0068360679782874679,-3.6015944508000044,official,5121,495
affectional,35,0,35,1.8569776998200855e-05,0,-0.33212843440627182,0.042857703960410054,-1.6043222548468057,official,4021,1577
affiliated,58,7,65,3.077277331130427e-05,1.2285120087048851e-05,-0.17449947009703237,0.022019531299829132,-1.175953305547575,official,3443,2173
affiliates,37,5,42,1.963090711238376e-05,8.7750857764634652e-06,-0.1582796108586404,0.033935384697839258,-0.85920854090676491,official,3166,2447
affiliation,20,11,31,1.0611301141829059e-05,1.9305188708219622e-05,0.16686942485740985,0.043417928049802171,0.8008334811351957,short,1915,3698
affirm,51,3,54,2.7058817911664101e-05,5.2650514658780786e-06,-0.24989112768996158,0.027068230280463613,-1.5188710541571342,official,3928,1686
affirmative,31,1,32,1.644751676983504e-05,1.7550171552926931e-06,-0.28560746690744843,0.046176607278722956,-1.329102720500865,official,3608,2000
afford,51,7,58,2.7058817911664101e-05,1.2285120087048851e-05,-0.15594093428820521,0.024559488419839265,-0.99506276150665751,official,3286,2330
affordability,90,244,334,4.775085513823077e-05,0.00042822418589141711,0.67095713566261139,0.0040891555537120334,10.492475412013883,short,73,5543
affordable,773,291,1064,0.00041012678913169312,0.0005107099921901737,0.056715656367978262,0.0012829345354271125,1.5834367288605886,short,1385,4231
afforded,64,0,64,3.3956163653852993e-05,0,-0.3321322118131711,0.023438061109518123,-2.1694525539699216,official,4565,1049
afghan,6,26,32,3.1833903425487179e-06,4.563044603761002e-05,0.78389057642212734,0.043557729888111386,3.755976141317293,short,482,5134
afghanistan,129,40,169,6.8442892364797432e-05,7.0200686211707722e-05,0.0062645019937725976,0.0081409548276029312,0.069430274025667482,short,2444,3172
africa,138,56,194,7.3217977878620513e-05,9.8280960696390808e-05,0.077355407214007244,0.0070126093334611211,0.92374234827186341,short,1826,3790
african,155,115,270,8.2237583849175216e-05,0.00020182697285865968,0.26220683207297135,0.0049509049342653048,3.7265050138067077,short,489,5127
african-american,35,14,49,1.8569776998200855e-05,2.4570240174097702e-05,0.073342705630471627,0.027778338884849763,0.44005178931419564,short,2208,3407
african-americans,18,10,28,9.5501710276461537e-06,1.755017155292693e-05,0.16997003218623874,0.048055481010787417,0.77535553642771293,short,1933,3680
after-school,20,9,29,1.0611301141829059e-05,1.5795154397634238e-05,0.10679043921111031,0.046724513841470257,0.49403757013922672,short,2158,3451
afterschool,16,10,26,8.4890409134632483e-06,1.755017155292693e-05,0.20687484962356173,0.051587862689191084,0.91082287204964785,short,1835,3780
age,987,100,1087,0.00052366771134926412,0.0001755017155292693,-0.1971121989285356,0.0013251813960379842,-5.4147179292112764,official,5380,236
aged,81,19,100,4.2975769624407689e-05,3.3345325950561165e-05,-0.058352597484500279,0.013928784341337201,-0.49442860149062218,official,2870,2746
agencies,3476,377,3853,0.0018442441384498905,0.00066164146754534524,-0.18890455314492538,0.00037341283060688643,-9.7756987006552389,official,5545,71
agency,2088,325,2413,0.0011078198392069538,0.00057038057547012522,-0.13618062862075497,0.00058796458005148673,-5.6161636267016481,official,5396,220
agenda,11,19,30,5.8362156280059822e-06,3.3345325950561165e-05,0.53927828978002701,0.04479896827100284,2.547879771103172,short,851,4763
agent,53,70,123,2.8119948025847007e-05,0.0001228512008704885,0.45325275597089743,0.010863726458249109,4.3486158310571348,short,366,5250
agents,210,55,265,0.00011141866198920512,9.6525943541098119e-05,-0.033974159723401343,0.0052308243138347935,-0.46974661292831932,official,2859,2757
ages,62,1,63,3.2895033539670081e-05,1.7550171552926931e-06,-0.30841499382967186,0.023625561109358793,-2.0065242718482299,official,4440,1176
aggravated,36,0,36,1.9100342055292307e-05,0,-0.33212856466023766,0.041667227770149411,-1.6270800693544627,official,4056,1551
aggregate,45,2,47,2.3875427569115385e-05,3.5100343105853862e-06,-0.26894997362732909,0.031278289588663639,-1.5207226270432534,official,3931,1682
aggression,18,7,25,9.5501710276461537e-06,1.2285120087048851e-05,0.065559763502996304,0.054506375054993665,0.28081074914955623,short,2308,3303
aging,84,49,133,4.4567464795682047e-05,8.599584060934196e-05,0.18514280947387007,0.010103361552527747,1.841933312211586,short,1202,4414
agree,27,2,29,1.432525654146923e-05,3.5100343105853862e-06,-0.23034383637063449,0.050115768475358251,-1.0289384549959946,official,3308,2303
agreement,489,153,642,0.00025944631291772053,0.00026851762475978201,0.0085101710475061765,0.002142596175927105,0.18385190169630772,short,2376,3240
agreements,663,71,734,0.00035176463285163331,0.00012460621802578119,-0.19027255919271369,0.001958616896271147,-4.2993362370375685,official,5266,350
agricultural,1631,722,2353,0.00086535160811615974,0.0012671223861213242,0.10214059416544075,0.00057676891211516841,4.2530203226754022,short,385,5231
agriculture,1448,261,1709,0.00076825820266842389,0.00045805947753139287,-0.11064156617814103,0.0008249321065336041,-3.8522034103260654,official,5186,430
aid,548,274,822,0.00029074965128611621,0.00048087470055019788,0.13792644396975007,0.0016428970547918832,3.4028465390928129,short,565,5051
aids,203,142,345,0.00010770470658956496,0.00024921243605156238,0.24304688534017949,0.0038787667866775639,3.90250282269171,short,447,5169
aimed,30,0,30,1.5916951712743588e-05,0,-0.33212778313798452,0.050000561102189471,-1.4853122665294169,official,3862,1737
air,1364,466,1830,0.00072369073787274189,0.00081783799436639497,0.030940863479682612,0.00074918862456017834,1.1304122163706456,short,1684,3932
