token,official_count,short_count,pooled_count,official_normalized_rate,short_normalized_rate,log_odds_delta,variance,z_score,direction,short_rank,official_rank
above-the-line,29,0,29,1.5994396445934803e-05,0,-0.33119404326834001,0.051724721818257192,-1.456241606872426,official,3768,1737
abraham,25,18,43,1.3788272798219658e-05,3.2963893548599766e-05,0.25332791426062862,0.031099908867480562,1.4364929179881796,short,1435,4091
abroad,246,33,279,0.00013567660433448143,6.0433804839099571e-05,-0.15845645744591508,0.0051104740574759938,-2.2165592682830453,official,4528,998
absence,74,0,74,4.0813287482730191e-05,0,-0.33120012498954132,0.020270854167994873,-2.3262397223788542,official,4595,928
absent,41,0,41,2.2612767389080238e-05,0,-0.33119566503862252,0.036585949743681713,-1.7315198594889014,official,4119,1401
absentee,72,12,84,3.9710225658872614e-05,2.1975929032399844e-05,-0.12355510493041066,0.016827506977713923,-0.95246890045871069,official,3181,2344
abundance,27,1,28,1.4891334622077231e-05,1.8313274193666537e-06,-0.27808349892057116,0.052665160689558212,-1.2117513504523192,official,3435,2083
abuse,1101,576,1677,0.00060723553403359374,0.0010548445935551925,0.15259823199770572,0.00080440815050490558,5.3803592002884155,short,218,5308
abusers,41,7,48,2.2612767389080238e-05,1.2819291935566576e-05,-0.11934852777531901,0.029418357130081996,-0.69583754519122543,official,2987,2535
abuses,97,4,101,5.3498498457092274e-05,7.3253096774666146e-06,-0.27236093849092669,0.014574898478584643,-2.2560153631277728,official,4555,971
abusive,71,15,86,3.9158694746943826e-05,2.7469911290499805e-05,-0.079171096252288464,0.016271000752042981,-0.62066824442533319,official,2917,2609
academic,192,55,247,0.00010589393509032697,0.00010072300806516596,-0.012116606380292438,0.005589746547623454,-0.16206339832933375,official,2561,2965
academies,28,8,36,1.5442865534006018e-05,1.4650619354933229e-05,-0.012736587067719185,0.038352856616617317,-0.065036058102891037,official,2486,3037
academy,174,59,233,9.5966378675608823e-05,0.00010804831774263257,0.029900634104034651,0.0058822439296849702,0.38986018398836192,short,2184,3342
accelerate,158,6,164,8.7141884084748238e-05,1.0987964516199922e-05,-0.27681471352888032,0.0089885269223840547,-2.9197449010233831,official,4867,659
accelerated,110,35,145,6.0668400312166495e-05,6.4096459677832885e-05,0.013651202276966146,0.0094777080994379592,0.14022299452479536,short,2342,3184
accelerating,21,32,53,1.1582149150504513e-05,5.8602477419732917e-05,0.50055474162276781,0.025278803290643304,3.1482798117558506,short,610,4916
acceleration,33,57,90,1.8200520093649949e-05,0.00010438566290389926,0.54022640701494673,0.014933386294186314,4.4207571655023923,short,338,5188
accept,124,1,125,6.8389833079169504e-05,1.8313274193666537e-06,-0.31923024292301427,0.0119531561032243,-2.9198647342325401,official,4868,657
acceptance,69,4,73,3.8055632923086256e-05,7.3253096774666146e-06,-0.25007210943491032,0.020029850405875113,-1.7669587244398131,official,4155,1371
accepted,32,0,32,1.7648989181721161e-05,0,-0.3311944487094074,0.046875583887922824,-1.5297121057037018,official,3876,1639
accepting,30,0,30,1.6545927357863591e-05,0,-0.33119417841525234,0.050000583887456082,-1.4811367452309805,official,3806,1703
access,2355,2096,4451,0.0012988552975922918,0.0038384622709925062,0.32378291011816973,0.0003002559433794313,18.685645951951511,short,20,5506
accessibility,60,108,168,3.3091854715727182e-05,0.00019778336129159859,0.5530526512456948,0.008009737244333695,6.1795570192294473,short,176,5350
accessible,84,20,104,4.6328596602018054e-05,3.6626548387333073e-05,-0.054205718153802707,0.013384248971149298,-0.46854153851550634,official,2799,2727
accessing,27,7,34,1.4891334622077231e-05,1.2819291935566576e-05,-0.035345248692845388,0.040784270414206659,-0.17501879641426113,official,2571,2949
accessories,31,0,31,1.7097458269792376e-05,0,-0.3311943135622748,0.048387680661882995,-1.5056203243148938,official,3841,1662
accident,55,18,73,3.0334200156083247e-05,3.2963893548599766e-05,0.020786943484175424,0.01880209488760087,0.15159592078335546,short,2335,3189
accidental,21,4,25,1.1582149150504513e-05,7.3253096774666146e-06,-0.099389553078838233,0.056222472942005629,-0.41916572724057177,official,2756,2763
accidents,65,1,66,3.584950927537111e-05,1.8313274193666537e-06,-0.30855598313254085,0.022559544816506502,-2.0543233656859314,official,4416,1108
accommodation,29,3,32,1.5994396445934803e-05,5.493982258099961e-06,-0.19357131916931714,0.044965455082485319,-0.91285439989954598,official,3143,2375
accommodations,28,2,30,1.5442865534006018e-05,3.6626548387333073e-06,-0.23275293782696416,0.048491963197922976,-1.0569642248172721,official,3288,2233
accordance,209,0,209,0.00011526996059311635,0,-0.3312183715055923,0.0071776174220555761,-3.9095274295774809,official,5119,407
according,36,0,36,1.9855112829436307e-05,0,-0.33119498929905689,0.041667250555522978,-1.6225060899795725,official,3991,1525
accordingly,90,0,90,4.963778207359077e-05,0,-0.33120228743361935,0.016667250568125371,-2.5654369484347184,official,4722,803
account,696,219,915,0.00038386551470243529,0.00040106070484129716,0.010857372650775687,0.0015031507869144904,0.28004219292954846,short,2261,3265
accountability,605,1482,2087,0.00033367620171691572,0.0027140272355013809,0.64454190226635344,0.00065224601338080221,25.237448158006156,short,11,5515
accountable,115,30,145,6.3426054871810423e-05,5.493982258099961e-05,-0.033940680128225154,0.0095610234765657765,-0.34711097741502178,official,2703,2823
accounting,261,129,390,0.00014394956801341323,0.00023624123709829834,0.13537391580958236,0.0034634645632526861,2.3002742467236788,short,926,4600
accounts,875,74,949,0.00048258954793768802,0.00013551822903313238,-0.21642042590381294,0.0015263468271083701,-5.5395136040016304,official,5309,217
accreditation,35,13,48,1.9303581917507522e-05,2.3807256451766497e-05,0.053991416454666208,0.028442219286485413,0.32014224125101026,short,2225,3298
accredited,47,5,52,2.5921952860652958e-05,9.1566370968332683e-06,-0.19011563395184083,0.027645453643028374,-1.1434204931422567,official,3362,2164
accrual,45,0,45,2.4818891036795385e-05,0,-0.33119620563227947,0.033333917224290008,-1.8140204400668125,official,4204,1310
accrue,47,0,47,2.5921952860652958e-05,0,-0.33119647592977408,0.031915477508444694,-1.8538945757924572,official,4245,1268
accuracy,69,54,123,3.8055632923086256e-05,9.8891680645799297e-05,0.28062632472512483,0.010858634759914216,2.6930275464199247,short,770,4756
accurate,148,31,179,8.1626574965460382e-05,5.6771150000366263e-05,-0.080901674550283076,0.0078205926615626999,-0.91482427033438629,official,3152,2374
accurately,32,0,32,1.7648989181721161e-05,0,-0.3311944487094074,0.046875583887922824,-1.5297121057037018,official,3877,1640
achieve,304,7,311,0.00016766539722635104,1.2819291935566576e-05,-0.29765177590137171,0.0047712543016811895,-4.3091557927060506,official,5187,339
achieved,28,2,30,1.5442865534006018e-05,3.6626548387333073e-06,-0.23275293782696416,0.048491963197922976,-1.0569642248172721,official,3289,2234
achievement,187,74,261,0.00010313628053068304,0.00013551822903313238,0.071302291464029111,0.0052178014298957884,0.98709673047000079,short,1744,3782
achievements,40,3,43,2.2061236477151454e-05,5.493982258099961e-06,-0.22824621441104043,0.033787907096539976,-1.2417178880590105,official,3474,2050
achieving,65,7,72,3.584950927537111e-05,1.2819291935566576e-05,-0.18858166020489264,0.019958081818779057,-1.3348733276882867,official,3566,1958
acid,98,82,180,5.4050029369021062e-05,0.00015016884838806561,0.30270400076513937,0.0074145001227574883,3.51542002760484,short,519,5007
acquire,217,0,217,0.00011968220788854664,0,-0.33121945284429444,0.0069130263274132233,-3.9836550934863348,official,5139,387
acquired,160,18,178,8.8244945908605814e-05,3.2963893548599766e-05,-0.18298772647214356,0.0080612046210791696,-2.0380835735966176,official,4396,1130
acquiring,116,5,121,6.3977585783739211e-05,9.1566370968332683e-06,-0.26983461132958908,0.012156501128207202,-2.4473346433922134,official,4678,848
acquisition,568,145,713,0.00031326955797555061,0.0002655424758081648,-0.038846844169150074,0.0019467253461507399,-0.88044737255362682,official,3123,2403
acquisitions,98,10,108,5.4050029369021062e-05,1.8313274193666537e-05,-0.19524324492159018,0.013329529109495268,-1.6910973666389109,official,4083,1443
acreage,86,11,97,4.7431658425875623e-05,2.014460161303319e-05,-0.16540455573141166,0.014724324037339989,-1.3631064849568548,official,3618,1908
acres,44,0,44,2.42673601248666e-05,0,-0.33119607048369737,0.034091492981632388,-1.7937510362478384,official,4179,1331
act,41255,111702,152957,0.022753407771622079,0.20456293539809395,0.71930010112770271,9.5575397339191947e-06,232.66821888506715,short,1,5525
acting,175,0,175,9.6517909587537612e-05,0,-0.33121377589560019,0.0085720124927255014,-3.5773958107483979,official,5040,486
action,661,112,773,0.00036456193278492776,0.00020510867096906521,-0.12071740373088868,0.001827877640302483,-2.8235554847556648,official,4837,689
actions,932,15,947,0.00051402680991762884,2.7469911290499805e-05,-0.30764276165615545,0.0015722831196027917,-7.7585636150347961,official,5410,116
active,498,13,511,0.00027466239414053559,2.3807256451766497e-05,-0.29332776045543163,0.0029000612245908301,-5.4469022704483994,official,5305,221
actively,28,2,30,1.5442865534006018e-05,3.6626548387333073e-06,-0.23275293782696416,0.048491963197922976,-1.0569642248172721,official,3290,2235
activities,2910,111,3021,0.0016049549537127683,0.00020327734354969856,-0.27690788618219297,0.00048847502658398722,-12.528934586261128,official,5488,38
activity,363,41,404,0.00020020572103014944,7.5084424194032807e-05,-0.18248612679137288,0.0035515559532871255,-3.062108132590319,official,4916,610
acts,497,10,507,0.0002741108632286068,1.8313274193666537e-05,-0.30181006137555677,0.0029308359124506165,-5.5749112940149761,official,5311,215
actual,61,2,63,3.3643385627655964e-05,3.6626548387333073e-06,-0.2839445856847842,0.023449715408927152,-1.8542351248942903,official,4259,1264
actuarial,28,1,29,1.5442865534006018e-05,1.8313274193666537e-06,-0.27990016499353665,0.050877776869739884,-1.2409065910146566,official,3465,2053
adams,15,10,25,8.2729636789317955e-06,1.8313274193666537e-05,0.22842812411955826,0.053572012458328148,0.9869169154630365,short,1745,3776
adaptation,20,13,33,1.1030618238575727e-05,2.3807256451766497e-05,0.22030967019145287,0.040607638852034146,1.0932756901612612,short,1664,3859
add,162,0,162,8.9348007732463391e-05,0,-0.33121201878461193,0.0092598431775220164,-3.4419477393136404,official,5008,518
added,58,1,59,3.1988792891869606e-05,1.8313274193666537e-06,-0.30587970584555357,0.025214259107960175,-1.9263161164136087,official,4314,1210
addiction,49,39,88,2.7025014684510531e-05,7.1421769355299499e-05,0.28617409624896339,0.015173869724396619,2.3231761708480376,short,909,4617
adding,76,6,82,4.1916349306587761e-05,1.0987964516199922e-05,-0.22330874079818486,0.01769333418764486,-1.6788074292372475,official,4063,1462
addition,133,38,171,7.3353611286528585e-05,6.9590441935932839e-05,-0.012737315107649749,0.0080747466021087021,-0.14174685824510236,official,2539,2986
additional,2226,24,2250,0.0012277078099534784,4.3951858064799688e-05,-0.31552266800598261,0.00066375190767396753,-12.246942377046977,official,5485,41
additions,17,16,33,9.376025502789367e-06,2.9301238709866458e-05,0.34175923160408317,0.04040874715443888,1.7001316867583987,short,1266,4256
additive,11,24,35,6.06684003121665e-06,4.3951858064799688e-05,0.61086238716961994,0.038688866867243293,3.1056347670742865,short,627,4899
additives,66,18,84,3.6401040187299898e-05,3.2963893548599766e-05,-0.023706266554849975,0.016471172136451186,-0.18471446668799291,official,2587,2939
address,587,12,599,0.00032374864530219759,2.1975929032399844e-05,-0.30136152663983751,0.0024804155525419967,-6.0509781453377638,official,5342,184
addressing,43,1,44,2.3715829212937812e-05,1.8313274193666537e-06,-0.29729393491726341,0.033717058986569771,-1.6190535245880329,official,3989,1536
adequate,623,9,632,0.00034360375813163386,1.6481946774299883e-05,-0.30998451489360512,0.0023574591800298761,-6.3843679487332912,official,5364,162
adequately,35,0,35,1.9303581917507522e-05,0,-0.33119485415147842,0.042857726745765795,-1.5998122380313102,official,3962,1547
adherence,27,0,27,1.4891334622077231e-05,0,-0.33119377297485109,0.055556139442311518,-1.4051287926382199,official,3686,1815
adjacent,116,3,119,6.3977585783739211e-05,5.493982258099961e-06,-0.29362174406214514,0.012452624368821575,-2.6312236863918419,official,4750,776
adjudication,62,29,91,3.4194916539584752e-05,5.3108495161632956e-05,0.11901551253697029,0.01486986494921381,0.97600054263707969,short,1753,3773
adjust,254,1,255,0.00014008885162991174,1.8313274193666537e-06,-0.32534739687144132,0.0058714704822701944,-4.2459404157333074,official,5179,347
adjusted,86,1,87,4.7431658425875623e-05,1.8313274193666537e-06,-0.31400889753202144,0.017144567085265201,-2.3981629683495549,official,4643,881
adjusting,31,4,35,1.7097458269792376e-05,7.3253096774666146e-06,-0.16413843393333316,0.040793124681407868,-0.81267481123816721,official,3068,2454
adjustment,685,627,1312,0.00037779867467121862,0.0011482422919428918,0.3326722711763086,0.001017065109404099,10.431391018664483,short,74,5452
adjustments,341,10,351,0.00018807204096771613,1.8313274193666537e-05,-0.28879254342478156,0.0042157537706839594,-4.4478318157682546,official,5204,322
administer,200,0,200,0.00011030618238575726,0,-0.33121715500807092,0.0075005839271319666,-3.8244173962415582,official,5105,421
administered,460,0,460,0.00025370421948724169,0,-0.33125230190279531,0.0032614535530408459,-5.8003380558189672,official,5327,199
administering,69,0,69,3.8055632923086256e-05,0,-0.33119944923160993,0.021739714331340317,-2.2462737885154294,official,4545,975
administration,3292,708,4000,0.0018156397620695645,0.0012965798129115909,-0.075685012623682546,0.00035012586482127445,-4.0448068748313339,official,5147,379
administration's,38,0,38,2.095817465329388e-05,0,-0.33119525959454954,0.039474268099849372,-1.6669672550603276,official,4044,1472
administrative,699,275,974,0.00038552010743822166,0.00050361504032582982,0.069710814900673768,0.0013989532682508589,1.8637967750970894,short,1160,4366
administrator,878,0,878,0.00048424414067347438,0,-0.33130882307634835,0.0017090123314375428,-8.0142041919604061,official,5418,108
administrators,43,1,44,2.3715829212937812e-05,1.8313274193666537e-06,-0.29729393491726341,0.033717058986569771,-1.6190535245880329,official,3990,1537
admission,196,28,224,0.00010810005873804212,5.1277167742266302e-05,-0.14888249208707549,0.0063497902836492145,-1.8683745317768241,official,4270,1256
admissions,31,3,34,1.7097458269792376e-05,5.493982258099961e-06,-0.20151514403003468,0.042412226300215079,-0.97850298373477296,official,3201,2320
admitted,75,0,75,4.1364818394658973e-05,0,-0.3312002601414612,0.020000583897957981,-2.341905313174014,official,4610,912
adolescent,44,41,85,2.42673601248666e-05,7.5084424194032807e-05,0.33843901144623167,0.015689029823798412,2.7019815149168442,short,763,4763
adolescents,63,1,64,3.474644745151354e-05,1.8313274193666537e-06,-0.30785082558405108,0.023259215028098731,-2.0185652650612051,official,4387,1139
adopt,138,8,146,7.6111265846172513e-05,1.4650619354933229e-05,-0.25007964008175065,0.010015217169086616,-2.4988958175707761,official,4696,830
adopted,73,6,79,4.0261756570801403e-05,1.0987964516199922e-05,-0.21927938115182322,0.018344237150031712,-1.6190041752739281,official,3988,1538
adopting,24,12,36,1.3236741886290871e-05,2.1975929032399844e-05,0.13881564661734913,0.037500583889588726,0.71683533604187211,short,1932,3590
adoption,459,202,661,0.0002531526885753129,0.00036992813871206408,0.10131640530439867,0.0020521897415075449,2.236510886540453,short,956,4570
adoptive,50,12,62,2.7576545596439316e-05,2.1975929032399844e-05,-0.052478093962680106,0.022442668837741431,-0.35030053633854585,official,2706,2819
adult,220,101,321,0.00012133680062433299,0.00018496406935603204,0.11355868465792796,0.0042186810434763841,1.748364612948758,short,1231,4295
adulterated,41,0,41,2.2612767389080238e-05,0,-0.33119566503862252,0.036585949743681713,-1.7315198594889014,official,4120,1402
adults,130,19,149,7.169901855074222e-05,3.4795220967966419e-05,-0.14529978915023811,0.0095371942594503073,-1.4878346534449183,official,3829,1696
advance,306,46,352,0.00016876845905020862,8.4241061290866068e-05,-0.14081658464574609,0.0040329036183957886,-2.2174042993982912,official,4529,997
advanced,313,120,433,0.00017262917543371011,0.00021975929032399844,0.062601008417797033,0.0031493848265874819,1.1154971467733119,short,1645,3881
advancement,59,120,179,3.2540323803798394e-05,0.00021975929032399844,0.59017583483740843,0.0075467462071759977,6.7936246840037384,short,144,5382
advances,40,2,42,2.2061236477151454e-05,3.6626548387333073e-06,-0.26057706519228141,0.03492297856887086,-1.3943780889413113,official,3672,1850
advancing,22,52,74,1.21336800624333e-05,9.522902580706599e-05,0.6339111338182466,0.018353758504073201,4.6791382077222909,short,303,5223
advantage,76,17,93,4.1916349306587761e-05,3.1132566129233112e-05,-0.067463935120247953,0.015008652757419182,-0.5506819159470987,official,2875,2651
adverse,211,0,211,0.00011637302241697391,0,-0.33121864183959993,0.0071095886690359144,-3.9281904413182764,official,5126,399
adversely,128,1,129,7.0595956726884643e-05,1.8313274193666537e-06,-0.31960142847954209,0.011583942186587093,-2.9694807965632437,official,4886,638
advertisements,78,2,80,4.3019411130445331e-05,3.6626548387333073e-06,-0.29392837330712851,0.018524819774517101,-2.1595562240872161,official,4495,1031
advertising,289,132,421,0.00015939243354741925,0.00024173521935639828,0.11207026838094691,0.0032173529550175882,1.9757912527471577,short,1100,4426
advice,80,13,93,4.4122472954302907e-05,2.3807256451766497e-05,-0.12790042198760077,0.01521489298791252,-1.036901556246953,official,3273,2253
advise,36,2,38,1.9855112829436307e-05,3.6626548387333073e-06,-0.25323255034606795,0.038514097402958643,-1.2903563597528465,official,3517,2007
advisers,68,14,82,3.7504102011157468e-05,2.5638583871133151e-05,-0.084332953676227618,0.017083917233779489,-0.64521370243473208,official,2932,2592
advising,25,0,25,1.3788272798219658e-05,0,-0.33119350268180803,0.060000583886289226,-1.3520852339749585,official,3589,1914
advisory,515,193,708,0.00028403841964332494,0.00035344619193776418,0.056417190795373884,0.0019281234590844583,1.2848251761981464,short,1551,3975
advocacy,70,52,122,3.8607163835015045e-05,9.522902580706599e-05,0.26353085868616155,0.010956043682216055,2.5177035923152662,short,836,4689
advocate,32,13,45,1.7648989181721161e-05,2.3807256451766497e-05,0.078596154207996705,0.030228976189107949,0.45205323012367304,short,2133,3392
aerial,20,10,30,1.1030618238575727e-05,1.8313274193666537e-05,0.13881528970809676,0.04500058388806643,0.6543773058791309,short,1972,3550
aeronautics,260,97,357,0.00014339803710148444,0.00017763875967856542,0.055193622044647839,0.0038239726844563559,0.89254784266176812,short,1809,3717
afdc,76,8,84,4.1916349306587761e-05,1.4650619354933229e-05,-0.19143486293617151,0.017120149117938004,-1.4630772593936805,official,3792,1734
affairs,1851,247,2098,0.0010208837179801835,0.00045233787258356349,-0.15935935902131071,0.00068025228346486454,-6.1100191317168209,official,5348,178
affect,102,0,102,5.6256153016736209e-05,0,-0.33120390928537802,0.014706466257200485,-2.7311231834487839,official,4795,729
affected,512,8,520,0.00028238382690753857,1.4650619354933229e-05,-0.30826622355234257,0.0028635156443208164,-5.7607119772065625,official,5323,203
affecting,204,5,209,0.00011251230603347242,9.1566370968332683e-06,-0.29553984923790289,0.0070947886318527571,-3.5087006450509426,official,5025,501
affectional,35,0,35,1.9303581917507522e-05,0,-0.33119485415147842,0.042857726745765795,-1.5998122380313102,official,3963,1548
affiliated,57,7,64,3.1437261979940824e-05,1.2819291935566576e-05,-0.17115817420271107,0.022349553747988943,-1.1448885632998147,official,3363,2163
affiliates,37,5,42,2.0406643741365096e-05,9.1566370968332683e-06,-0.15734595093184112,0.033935407483343838,-0.85413995395559283,official,3108,2417
affiliation,18,11,29,9.9275564147181536e-06,2.014460161303319e-05,0.20069141245862632,0.046277179632574945,0.93292202875464714,short,1779,3744
affirm,49,3,52,2.7025014684510531e-05,5.493982258099961e-06,-0.24583555104625887,0.028083392173601479,-1.4669655173615903,official,3793,1730
affirmative,31,1,32,1.7097458269792376e-05,1.8313274193666537e-06,-0.2846738491865608,0.046176630064030035,-1.3247577108447939,official,3557,1968
afford,50,7,57,2.7576545596439316e-05,1.2819291935566576e-05,-0.15199231070842423,0.024971378286707785,-0.96183452205745645,official,3193,2333
affordability,88,242,330,4.85347202497332e-05,0.00044318123548673022,0.67571133139732531,0.0041411802181109481,10.50023784452347,short,72,5454
affordable,753,286,1039,0.00041530277668237612,0.00052375964193886301,0.060063788742224844,0.0013133368359110789,1.6573897962069397,short,1305,4221
afforded,62,0,62,3.4194916539584752e-05,0,-0.33119850317518207,0.024194132282020834,-2.129282770545442,official,4467,1049
afghan,6,26,32,3.3091854715727179e-06,4.7614512903532995e-05,0.78482476377719479,0.043557752673538792,3.760451274094089,short,467,5059
afghanistan,127,39,166,7.0044425814955869e-05,7.1421769355299499e-05,0.0047947641442203093,0.0082916019853411689,0.052656019470401001,short,2405,3121
africa,127,52,179,7.0044425814955869e-05,9.522902580706599e-05,0.080795836618952066,0.0075975621106181505,0.92694048913543403,short,1785,3741
african,150,111,261,8.2729636789317945e-05,0.00020327734354969856,0.26228723787047592,0.0051218460154877875,3.6649149516143353,short,479,5047
african-american,35,13,48,1.9303581917507522e-05,2.3807256451766497e-05,0.053991416454666208,0.028442219286485413,0.32014224125101026,short,2226,3299
african-americans,18,10,28,9.9275564147181536e-06,1.8313274193666537e-05,0.17090387454864064,0.048055503796066504,0.77961527811124665,short,1883,3636
after-school,20,9,29,1.1030618238575727e-05,1.6481946774299883e-05,0.10772425389484042,0.046724536626762347,0.49835749394842821,short,2098,3424
afterschool,16,10,26,8.8244945908605804e-06,1.8313274193666537e-05,0.20780870177268973,0.051587885474434526,0.91493420843654538,short,1791,3732
age,971,95,1066,0.00053553651548285148,0.0001739761048398321,-0.20032801183587079,0.0013528285945460232,-5.446534936281707,official,5304,222
aged,81,19,100,4.4674003866231695e-05,3.4795220967966419e-05,-0.057418902386913828,0.0139288071279431,-0.48651689227904488,official,2807,2719
agencies,3319,331,3650,0.0018305310966916419,0.00060616937581036237,-0.19828210854409356,0.0003952705314347233,-9.9732409083119844,official,5459,67
agency,2002,315,2317,0.0011041648856814302,0.00057686813710049591,-0.13345215497718232,0.00061205872821908937,-5.3942248248602178,official,5295,231
agenda,11,19,30,6.06684003121665e-06,3.4795220967966419e-05,0.54021232742369385,0.044798991056360898,2.5522920859250302,short,826,4700
agent,51,68,119,2.8128076508368104e-05,0.00012453026451693245,0.45729085932867974,0.011230530436441807,4.3151151142324933,short,353,5173
agents,198,52,250,0.00010920312056189969,9.522902580706599e-05,-0.032412583021665498,0.0055439850772651938,-0.43531398123637327,official,2770,2756
ages,62,1,63,3.4194916539584752e-05,1.8313274193666537e-06,-0.30748152781326255,0.023625583895218471,-2.0004502489358322,official,4372,1153
aggravated,35,0,35,1.9303581917507522e-05,0,-0.33119485415147842,0.042857726745765795,-1.5998122380313102,official,3964,1549
aggregate,45,2,47,2.4818891036795385e-05,3.6626548387333073e-06,-0.26801640652527325,0.031278312374242917,-1.5154434107898607,official,3868,1656
aggression,18,7,25,9.9275564147181536e-06,1.2819291935566576e-05,0.066493552189822225,0.054506397840204841,0.28481036696314938,short,2243,3274
aging,83,48,131,4.5777065690089265e-05,8.7903716129599375e-05,0.18337717035185008,0.010260073288990096,1.8103812184846007,short,1187,4339
agree,25,2,27,1.3788272798219658e-05,3.6626548387333073e-06,-0.22199331323622573,0.053714111738336921,-0.95784600877510939,official,3185,2336
agreement,471,147,618,0.00025977105951845836,0.00026920513064689809,0.0088200796681867644,0.002226047221717104,0.18694132713287981,short,2311,3215
agreements,627,68,695,0.00034580988177934901,0.00012453026451693245,-0.18774016928856696,0.0020676296883996035,-4.1287712831803498,official,5160,366
agricultural,1594,705,2299,0.00087914027361448539,0.0012910858306534908,0.10282276167252125,0.00059034524873569224,4.2319081007962733,short,374,5152
agriculture,1376,249,1625,0.00075890653481400997,0.00045600052742229678,-0.10898759896596566,0.00086742446394812449,-3.7005071854945717,official,5077,449
aid,538,265,803,0.00029672363061768707,0.00048530176613216324,0.13437541665390906,0.0016826258272158677,3.2758653960969095,short,579,4947
aids,199,138,337,0.00010975465147382848,0.00025272318387259819,0.24117273668242056,0.0039715187672207915,3.8269245677267318,short,458,5068
aimed,28,0,28,1.5442865534006018e-05,0,-0.33119390812154137,0.053572012458417903,-1.430913428383751,official,3728,1781
air,1316,448,1764,0.00072581468009828278,0.00082043468387626084,0.030947745659347881,0.00077733921046421999,1.1100019239689516,short,1654,3872
aircraft,472,99,571,0.00026032259043038715,0.00018130141451729872,-0.08064105361266094,0.0024518941040685078,-1.6285659065038911,official,4008,1518
